"index","route","family","dynamic","redirected","generic_import","classification","runtime_status","file","sha256"
"23","/revenue-command-center/appointments/recovery","appointments","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/appointments/recovery/page.tsx","23157573cb5e3d4c702d41391de3797049fba9d4aff0dce23b3b704dff12215f"
"24","/revenue-command-center/appointments/reschedules","appointments","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/appointments/reschedules/page.tsx","c4c207d2cc79c322873e4110fd03f5c07332033cf1b898fce18b6b668123f6e0"
"25","/revenue-command-center/appointments/risk","appointments","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/appointments/risk/page.tsx","98a13a523d88353101a1906923f9b61eda8a43acdebb2e981653a7443ec79b20"
"26","/revenue-command-center/appointments/schedule","appointments","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/appointments/schedule/page.tsx","03b80616b43dc36bd395e5befab7d5d3e1e54f10d5e84890943683d2dfe1a61f"
"27","/revenue-command-center/automation","automation","false","false","true","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/automation/page.tsx","a3d912c364cf8047c7473120ccea9cf1895d1898c84611d82f30a429af960e73"
"28","/revenue-command-center/b2c-workflow/[id]/care-start","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/care-start/page.tsx","cced67c14d09d6e1646ccd3d9f8a1a1365993a2f1f680e67ed2271f56d83e6bf"
"29","/revenue-command-center/b2c-workflow/[id]/consultation","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/consultation/page.tsx","0dfbf4dfceda5e661a0dcc8d32f771a3a08e7b8cdf21dd31aad8e01b43459a44"
"30","/revenue-command-center/b2c-workflow/[id]/intake","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/intake/page.tsx","1565e84b8cda346515b0449fe2138ab4da4ae4add09e02e79d7131c3d947f198"
"31","/revenue-command-center/b2c-workflow/[id]/matching","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/matching/page.tsx","15602c443d5c1d442c58a6cd8060338dc360c214b2c62409d34ebafa991c5e0b"
"32","/revenue-command-center/b2c-workflow/[id]/onboarding","b2c-workflow","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/b2c-workflow/[id]/onboarding/page.tsx","5178671253e5d99cf51e180989eaab90ac89a6284525db98f2397d5322061115"
